,!Sample_title,E. coli Wild type_glucose_exponential phase_repl1,E. coli Wild type_glucose_exponential phase_repl2,E. coli Wild type_glucose_stationary phase_repl1,E. coli Wild type_glucose_stationary phase_repl2,E. coli CRP N strain_glucose_exponential phase_repl1,E. coli CRP N strain_glucose_exponential phase_repl2,E. coli CRP N strain_glucose_stationary phase_repl1,E. coli CRP N strain_glucose_stationary phase_repl2,E. coli CRP R strain_glucose_exponential phase_repl1,E. coli CRP R strain_glucose_exponential phase_repl2,E. coli CRP R strain_glucose_stationary phase_repl1,E. coli CRP R strain_glucose_stationary phase_repl2,E. coli CRP Q strain_glucose_exponential phase_repl1,E. coli CRP Q strain_glucose_exponential phase_repl2,E. coli CRP Q strain_glucose_stationary phase_repl1,E. coli CRP Q strain_glucose_stationary phase_repl2,E. coli Wild type_acetate_exponential phase_repl1,E. coli Wild type_acetate_exponential phase_repl2,E. coli Wild type_acetate_stationary phase_repl1,E. coli Wild type_acetate_stationary phase_repl2,E. coli CRP N strain_acetate_exponential phase_repl1,E. coli CRP N strain_acetate_exponential phase_repl2,E. coli CRP N strain_acetate_stationary phase_repl1,E. coli CRP N strain_acetate_stationary phase_repl2,E. coli CRP R strain_acetate_exponential phase_repl1,E. coli CRP R strain_acetate_exponential phase_repl2,E. coli CRP R strain_acetate_stationary phase_repl1,E. coli CRP R strain_acetate_stationary phase_repl2,E. coli CRP Q strain_acetate_exponential phase_repl1,E. coli CRP Q strain_acetate_exponential phase_repl2,E. coli CRP Q strain_acetate_stationary phase_repl1,E. coli CRP Q strain_acetate_stationary phase_repl2
7122,1766239_s_at,10.7073,10.7043,10.3495,10.7961,10.718,10.6802,10.5829,10.5419,10.6839,10.8448,9.97892,10.0053,10.8988,11.0436,10.4874,9.83669,11.105,11.2637,9.4801,10.6967,10.9414,10.9389,10.6866,10.1473,11.0785,11.0425,9.99359,10.1145,10.7109,11.0564,10.5652,10.5675
7123,1766240_s_at,10.399,10.3617,11.2803,11.3174,10.3368,10.2316,11.5799,11.4884,10.3686,10.3729,10.8064,10.574,9.98828,10.2702,10.9821,10.3774,10.3214,10.1184,10.2832,9.86142,10.5454,10.4732,11.0792,11.2172,10.7485,10.7657,10.8981,10.6407,10.8065,10.6938,10.5874,10.4826
7124,1766241_at,10.6799,10.6701,12.6843,12.5706,10.6857,10.6543,12.6357,12.6462,10.4876,10.5754,12.2817,12.3721,11.1254,10.9821,12.5967,12.4196,11.2586,11.3217,12.6292,10.5783,11.1144,11.1719,12.6469,12.5777,11.1774,11.1958,12.3998,12.3977,11.107,11.0855,12.5077,12.5005
7125,1766242_s_at,11.2507,11.2353,9.52577,9.14512,11.1305,11.1455,9.29355,9.29556,11.2112,11.3479,8.78066,8.62767,11.562,11.212,9.708,9.85158,11.1769,11.1037,10.1443,10.6603,11.2465,11.1905,10.0808,10.0484,11.1735,11.1725,9.441,9.49314,11.1364,11.237,9.37917,9.40049
7126,1766243_s_at,11.6388,11.5398,9.3345,9.16977,11.5207,11.5704,9.29984,9.2153,11.4116,11.409,8.89645,8.67697,11.2793,11.3239,9.90751,9.84408,11.1818,11.1972,9.69846,10.741,11.2135,11.1972,9.63983,9.7751,11.227,11.2666,9.20796,9.26086,11.1321,11.2436,8.94497,8.94497
7127,1766244_s_at,9.78321,9.77199,9.87467,9.73686,9.73273,9.66335,9.9158,9.85155,9.67594,9.62741,9.09047,9.07835,9.64769,9.74339,9.86828,9.8811,9.36924,9.32873,9.37917,9.04897,9.32802,9.34003,9.27573,9.41038,9.41713,9.40327,8.82885,8.79069,9.82412,9.72085,9.53174,9.54808
7128,1766245_s_at,4.05068,4.10844,3.25497,3.53881,4.14758,4.2092,3.5912,3.82526,4.46752,4.37028,4.20238,4.24568,3.87889,3.85912,4.20229,4.1593,3.31158,3.45209,3.329,3.89127,3.69873,3.6894,3.64028,3.29898,4.09965,3.95363,3.50117,3.5344,4.01825,4.7138,3.49394,3.59462
7129,1766246_at,7.85547,7.83661,6.39295,7.04952,7.3854,7.55457,6.74745,6.84981,7.67889,7.6546,7.25737,7.66204,7.45258,8.00625,7.36976,6.80574,7.38485,7.30602,6.56027,7.78162,7.5169,7.92914,7.80444,7.07338,7.72807,7.75041,6.87787,6.88203,7.39383,8.30474,6.73393,6.95919
7130,1766247_s_at,12.926,12.9609,11.2695,11.043,12.9324,12.789,11.1271,11.1448,13.0042,12.9268,10.8481,10.6265,12.6926,12.9384,11.3552,11.2036,12.5043,12.4357,11.5392,11.7524,12.326,12.3927,11.6725,11.5823,12.4828,12.338,11.2252,11.1388,12.5641,12.4678,11.0453,10.9022
7131,1766248_at,7.64236,7.57928,5.46798,5.73208,7.173,7.63376,5.43708,5.46659,7.01563,7.15201,6.4613,7.46024,6.88895,6.9182,5.51767,5.53624,6.22491,5.99917,4.83306,7.11077,6.38017,6.3032,5.24184,4.84781,6.65221,7.05718,5.22575,5.4007,6.73426,7.47595,5.29935,5.77537
7132,1766249_at,7.44307,7.43849,5.97846,6.29145,6.74278,7.25371,6.11616,6.24499,7.2956,7.47112,6.87082,7.64773,6.87386,6.9917,6.48262,6.38186,6.63041,6.5545,5.75971,7.01763,6.54667,7.10956,6.57504,5.75753,7.06897,7.19214,5.90514,5.9159,7.1712,7.77322,6.43226,6.52139
7133,1766250_s_at,10.2197,10.199,9.42382,9.02432,10.1396,10.1314,9.0764,9.11709,10.3146,10.2568,8.47588,8.36137,10.0897,10.1279,9.63793,9.75403,10.3145,10.2375,9.64979,10.0012,10.2738,10.4476,9.6456,9.58645,10.3433,10.2949,9.014,9.04687,10.0344,10.2532,9.01047,8.84669
7134,1766251_at,3.79523,3.92403,3.89678,4.06872,3.67687,3.86829,3.66265,4.02272,4.19037,4.28799,5.40531,5.55719,3.83952,4.18943,3.35688,3.53407,3.6606,3.76461,3.89959,3.70446,3.59521,4.07118,4.09723,3.87931,4.10279,4.06894,3.27458,3.53034,4.31996,4.37769,3.80351,3.53897
7135,1766252_s_at,12.4977,12.4521,10.693,11.0102,12.4644,12.3516,10.9408,10.9618,12.1306,12.3402,10.8202,10.593,12.8245,12.1288,11.2532,10.8455,12.4544,12.4466,11.1777,11.642,12.4116,12.4333,11.4774,11.4336,12.552,12.5109,11.1428,11.1505,12.3804,12.415,11.1918,11.2202
7136,1766253_s_at,14.0115,14.0437,12.9877,13.0077,13.9924,13.9981,12.8808,12.9462,14.1143,14.1105,12.749,12.7874,13.9646,14.0724,12.8421,12.9226,13.791,13.7278,12.0062,13.2058,13.7686,13.7849,12.2898,12.219,13.9027,13.829,11.9701,11.8474,13.9018,13.828,12.0368,11.9049
7137,1766254_x_at,5.90309,5.78978,5.57067,5.984,5.76485,6.2498,5.87102,6.08072,6.37219,6.44161,6.97757,7.44534,5.92581,6.21589,5.8921,5.857,5.40649,5.37285,5.29511,5.81163,5.30188,6.06087,6.25871,5.6191,6.00463,6.18575,5.87058,6.07066,6.11762,6.6702,5.55568,5.87472
7138,1766255_s_at,5.89364,5.88345,5.6358,5.79151,5.73177,6.33825,5.58956,5.35275,6.44536,6.51561,6.53607,7.05718,6.0842,6.01619,5.59374,5.39865,5.84879,5.56283,5.16406,5.6645,5.48038,5.69214,5.54373,5.13476,5.86938,6.10529,5.57997,5.52336,6.49239,6.89103,5.6442,5.45281
7139,1766256_s_at,10.9136,10.9779,9.54278,9.5766,10.9238,10.8698,9.49964,9.60424,10.9166,10.9889,8.81978,9.04876,10.8394,10.92,9.844,9.8265,10.5673,10.5304,9.73004,10.5037,10.6363,10.644,9.97998,9.76455,10.7433,10.719,9.32933,9.38475,10.5544,10.7125,9.39507,9.40211
7140,1766257_s_at,10.8367,10.747,11.8419,10.426,11.2972,11.0405,11.3845,11.0372,10.8786,10.8303,10.4857,9.87238,11.1595,10.8908,11.1822,12.3783,11.5674,11.7642,12.596,10.7294,11.6469,11.3698,10.8164,11.6586,11.5033,11.477,11.2173,10.8894,12.0801,11.148,10.495,10.4019
7141,1766258_at,3.48407,3.49111,2.77568,3.00142,3.29207,3.21663,2.74491,2.91293,3.49282,3.52405,3.53789,4.20862,3.36442,3.23759,2.90299,2.77646,3.3844,3.18354,3.15504,3.24042,3.32719,3.49424,3.53671,2.89858,3.5656,3.51102,3.00771,2.83748,3.51826,3.85319,3.14755,3.3183
7142,1766259_s_at,8.00768,7.91497,9.33234,8.65029,8.64037,8.15531,9.22566,9.004,7.98855,7.95466,8.12106,7.67451,8.55524,8.22255,9.41376,9.82509,8.07604,8.24533,9.92682,7.49465,8.32846,7.73704,8.68199,9.33308,8.00333,7.83627,9.06526,8.86569,9.24774,7.63367,8.38026,8.18092
7143,1766260_s_at,12.4022,12.3242,10.1391,10.4591,12.1514,12.1171,10.3146,10.1949,12.2348,12.3719,9.805,9.79602,11.8619,11.6236,10.215,9.96361,12.5255,12.5594,9.46636,12.3484,12.3123,12.4143,10.4197,10.1996,12.5974,12.6499,9.86032,9.95308,11.4558,11.6603,9.55427,9.42295
7144,1766261_x_at,11.2635,11.1193,11.0691,10.9827,11.1133,11.309,11.1551,11.0028,11.3498,11.4308,10.982,10.9259,11.5313,11.5415,11.2859,11.3895,11.767,11.8987,11.3219,11.1323,11.6924,11.6237,11.2309,11.3793,11.5902,11.5702,11.0643,11.0548,11.5594,11.6598,11.1439,11.1758
7145,1766262_s_at,12.0519,12.1306,11.1177,11.233,11.9557,12.044,11.2018,11.2505,12.1575,12.1121,10.7698,10.651,11.8901,11.9334,11.1019,10.7923,11.6047,11.5638,10.4593,10.97,11.7036,11.6787,11.0344,10.9157,11.974,11.8415,10.6036,10.4855,11.8001,11.7664,10.7008,10.6775
7146,1766263_s_at,8.13236,8.35319,8.27439,7.3492,8.36327,8.25101,7.81375,7.84336,8.31955,8.43295,6.75515,6.3226,8.76835,8.74986,8.25263,8.58976,8.16136,8.33229,8.66192,6.99283,8.46363,8.0571,7.47261,8.16481,8.05654,8.02059,7.89648,7.72569,8.73514,8.64913,8.62237,8.52096
7147,1766264_x_at,5.32851,5.25863,6.29957,5.76951,5.74679,5.4773,6.10557,5.96909,5.60402,5.4593,5.53377,5.09328,5.77752,5.8152,6.28641,6.77211,5.57509,5.66749,6.38935,5.54908,5.58843,5.77437,5.36945,5.82352,5.02182,5.00365,5.51823,5.60427,6.03107,5.62336,5.18344,5.02276
7148,1766265_s_at,8.24006,8.27569,9.31824,9.74467,8.45367,8.46923,9.40829,9.4871,8.39983,8.25393,9.15364,9.24971,8.62293,8.44426,9.84382,9.60156,9.9168,10.0007,9.4662,10.0732,9.92874,9.99309,10.0608,9.67399,10.0035,10.1164,9.14495,9.37772,9.4496,9.82345,9.08011,9.24174
7149,1766266_s_at,5.66513,5.73151,4.41988,4.4543,5.07815,5.39508,4.42274,4.33482,5.09007,5.22007,5.31324,5.50861,4.73732,4.96207,4.54966,4.09825,5.21372,4.91231,4.92942,5.48601,5.01235,4.60038,4.90208,4.80026,5.54686,5.60605,5.27297,5.27541,5.30474,5.54577,5.52265,5.5331
7150,1766267_s_at,13.6571,13.712,9.23403,8.30091,13.6643,13.6998,8.97672,8.90356,13.7845,13.6667,8.06898,7.73539,12.9497,13.2037,9.25923,9.93766,12.5675,12.3725,10.1386,12.7106,12.7073,12.5444,8.81263,9.46376,12.7327,12.7991,8.87115,8.59613,12.9687,12.7781,8.25784,8.32086
7151,1766268_s_at,12.226,12.1759,10.0637,10.3306,12.3228,12.1959,10.1025,10.2336,11.8012,12.0337,10.0847,9.92801,12.1528,12.0242,10.7083,10.4278,12.8286,12.8357,11.214,12.1463,12.7995,12.779,11.5312,11.4927,12.8834,12.9669,11.1654,11.3942,12.5786,12.7158,11.1681,11.1877
7152,1766269_at,4.75226,4.70967,3.51075,4.06514,4.51885,4.55748,3.79553,3.9515,4.58521,4.42115,4.45829,4.7313,4.88438,4.90625,3.82608,3.7114,5.43571,5.30379,4.61261,4.67736,5.60898,5.69103,4.79922,4.66609,5.33307,5.49209,3.94028,4.43198,5.60071,6.14781,4.42901,4.46545
7153,1766270_s_at,8.70116,8.84169,9.44167,9.35569,8.93882,8.83097,9.3565,9.34685,8.91277,8.98194,8.65304,8.74566,9.21782,9.14449,9.53825,9.57415,9.08069,9.12087,9.29214,8.92942,8.88481,9.12739,9.27837,9.19035,8.83554,8.77101,8.85892,8.75984,9.22423,9.1381,8.93488,8.81281
7154,1766271_s_at,8.71537,8.8587,9.34509,9.57071,8.77491,8.75845,9.3608,9.42165,8.92832,8.92919,9.08813,9.13058,8.83764,8.93323,9.75952,9.73701,8.82689,8.66501,9.50188,8.62707,8.64687,8.77975,9.39163,9.25166,8.76378,8.71989,8.97805,9.05911,9.24511,8.98105,8.90474,8.80215
7155,1766272_s_at,9.6758,9.74542,10.4264,10.4414,9.75033,9.61468,10.5306,10.5212,9.62072,9.76427,10.0264,9.74401,9.77826,9.83523,10.5022,10.5042,10.2801,10.2155,10.6875,9.79481,10.1741,10.1175,10.5247,10.5658,10.5039,10.3252,10.2477,9.97314,10.616,10.3569,9.95065,9.93379
7156,1766273_s_at,8.38161,8.36956,9.01655,8.14286,8.57077,8.31834,8.74221,8.52247,8.31852,8.29115,7.69531,7.11554,8.42998,8.30489,9.12788,9.58136,8.02326,8.08405,9.68114,7.51868,8.25254,7.67092,8.45669,9.05641,8.10283,7.96909,8.60993,8.37583,9.05551,7.90719,8.01758,7.80841
7157,1766274_s_at,10.084,10.1113,8.97354,8.48141,9.91237,9.73163,8.96983,8.87012,10.1131,9.95658,8.30241,8.08848,9.57914,10.0156,9.36005,9.47536,10.0718,9.88875,9.37139,10.121,10.1733,10.1217,8.87757,9.12342,10.3978,10.3198,8.51841,8.42725,10.0307,10.3937,8.24382,8.21118
7158,1766275_s_at,9.62535,9.64285,9.35788,9.2967,9.54962,9.55146,9.51453,9.35954,9.58952,9.62262,8.68049,8.58028,9.46463,9.42881,9.74717,9.86025,10.0394,10.0422,9.74171,9.74101,10.0312,10.034,9.66045,9.62766,10.0997,10.0562,9.24715,9.23118,10.1545,10.1477,9.26242,9.28445
7159,1766276_s_at,11.2381,11.2326,9.97461,10.1903,11.2386,11.0711,10.0423,10.0081,11.096,11.0899,9.77823,9.5452,10.9189,11.0772,10.3278,10.0392,11.2387,11.221,9.70802,10.7063,11.1874,11.0832,10.331,9.98421,11.4108,11.2813,9.49955,9.68355,11.1837,11.2264,9.89406,9.89193
7160,1766277_s_at,11.8527,11.7344,9.74411,9.93951,11.6655,11.7444,9.81643,9.78719,11.8999,11.7585,9.22285,8.87605,11.5137,11.5644,10.1381,10.0267,11.3509,11.4186,9.89109,10.9003,11.4236,11.3042,9.99713,9.92903,11.5638,11.5595,9.5207,9.70702,11.2854,11.4051,10.0319,9.995
7161,1766278_s_at,13.1622,13.1104,9.34711,9.23283,13.1181,13.182,9.33433,9.29579,13.4274,13.5089,9.04905,8.57027,13.1968,13.1508,9.73705,9.82108,12.1824,12.223,9.84247,11.2535,12.1771,12.0381,9.75268,9.71389,12.2415,12.2225,9.36793,9.31434,12.0326,12.1998,9.21437,9.04504
7162,1766279_at,7.62867,7.67702,8.73349,8.21656,8.07346,7.62639,8.56571,8.34983,7.82124,7.72933,7.63482,6.97573,7.98102,7.5912,8.89796,9.42712,7.60015,7.71713,9.19704,6.54165,7.82694,7.17268,8.15437,8.68914,7.48973,7.46534,8.25389,8.09581,8.40865,7.29321,7.69368,7.55546
7163,1766280_s_at,10.9555,10.9386,11.5251,11.713,10.9499,11.0406,11.7429,11.6769,10.6323,10.905,11.3258,11.0911,11.7923,10.9353,11.6881,11.4712,11.4324,11.4881,11.8325,10.8162,11.3074,11.2166,11.9311,11.9706,11.4315,11.349,11.773,11.7104,10.8909,11.2106,11.8027,11.7809
7164,1766281_s_at,5.18381,5.36973,4.76959,4.81631,5.25492,5.03613,4.43351,4.58128,5.27621,5.18175,5.5137,5.74016,4.59319,4.71633,4.72088,4.25555,4.82857,4.75466,4.68935,5.10121,4.67624,4.58335,4.88145,4.88659,5.85896,5.49252,4.13731,4.56728,5.29569,5.58854,4.23131,4.82351
7165,1766282_s_at,8.96725,8.98613,9.10731,8.94318,9.05825,9.12031,9.02267,9.06563,8.90612,8.9248,8.51129,8.2408,10.3331,9.12274,9.36582,9.42864,9.07592,9.22267,9.30967,9.26341,9.24324,9.1319,8.7902,9.03964,9.23289,9.18072,8.55387,8.46505,9.3005,9.16747,8.48001,8.33965
7166,1766283_s_at,4.94208,4.84731,5.39865,6.2156,4.82608,4.97055,5.72248,5.98131,4.92152,5.068,6.08193,6.46004,5.24465,5.3875,5.96336,5.79795,5.2071,5.39513,5.30314,5.40685,5.24786,5.61938,5.7555,5.66574,5.69546,5.59071,4.94473,4.98875,6.34776,6.49898,5.04522,5.33486
7167,1766284_s_at,10.7051,10.6423,8.89628,8.53777,10.1711,10.0015,8.75685,8.67681,11.4766,11.2606,7.79532,8.02959,11.1081,10.972,8.96232,9.20524,10.5907,11.084,8.90839,10.1672,10.5692,10.6744,8.47623,8.83153,10.2351,10.5206,8.44089,8.44165,9.74705,10.6706,8.39319,8.20677
7168,1766285_at,5.06256,5.05804,4.81773,4.83711,4.88231,5.10038,4.41611,4.49483,5.29268,5.34703,5.97083,7.29194,5.34909,5.24023,4.67769,4.46586,5.17353,5.14375,3.95312,4.78354,4.97452,4.98714,4.17257,4.30811,4.47972,4.66425,4.46416,3.98328,5.48958,5.40729,4.52315,4.82784
7169,1766286_s_at,10.9059,11.0169,11.7123,11.9132,10.8261,10.7308,11.8605,11.8495,10.9574,11.0513,11.7274,11.4749,10.9786,10.9278,11.8864,11.9279,11.2579,11.3501,11.5454,10.7769,11.1426,11.064,11.7894,11.6679,11.3224,11.3419,11.4354,11.2808,11.4275,11.435,11.3409,11.4288
7170,1766287_s_at,2.91179,2.75328,2.21507,2.31715,2.58408,2.92933,1.99261,2.50922,3.59932,3.56353,3.29452,3.36068,3.14233,2.79031,2.44746,2.55123,2.60305,2.68082,2.29654,3.32428,2.67698,2.75902,2.92266,2.90097,3.03009,3.17555,2.59416,2.57324,3.59777,4.01315,2.15809,2.54297
7171,1766288_s_at,11.7001,11.6454,9.50935,9.79813,11.6572,11.5872,9.59463,9.56866,11.6673,11.6226,9.17215,9.06028,11.6253,11.6181,9.9148,9.80434,11.9194,11.8436,9.73757,11.355,11.9041,11.8915,10.4225,10.3059,12.0838,11.991,9.8427,9.84601,11.8229,11.9124,9.57502,9.40524
7172,1766289_x_at,5.25891,5.5163,4.36452,4.59534,5.19413,5.22318,4.50846,4.91363,5.75185,5.82403,4.61814,4.87584,4.94787,5.20715,5.62648,5.2523,5.29932,5.42537,5.10865,5.78033,5.47699,5.6225,6.13764,4.97514,5.79014,5.66585,5.4039,5.61569,5.69098,6.50932,5.72489,5.6538
7173,1766290_s_at,7.85143,7.70771,9.03675,8.61634,7.99624,7.75929,8.87349,8.64865,7.96234,7.86965,8.13122,7.4189,8.30449,8.13496,9.21806,9.63494,7.87661,7.99684,9.26686,7.00567,8.30109,7.62076,8.15106,8.9032,7.99757,7.91816,8.56144,8.42748,8.93812,7.88389,8.03936,7.79505
7174,1766291_s_at,9.02364,8.95877,9.92825,9.37155,9.02437,9.06059,9.7518,9.67004,9.16025,9.02719,8.97967,8.87426,9.22074,9.28408,9.93132,10.1726,9.08088,9.02949,10.2945,9.49952,9.16743,9.24926,9.63502,10.0072,9.1757,9.19756,9.52189,9.41725,9.58063,9.56249,8.98723,8.8457
7175,1766292_s_at,13.1086,13.0255,12.3157,12.5923,13.1811,13.2618,12.6329,12.6567,12.8155,12.9994,12.5296,12.5805,13.0901,13.2654,12.7078,12.6246,13.2598,13.3014,12.907,12.5609,13.3791,13.3874,13.2021,13.2335,13.4309,13.4616,13.0833,13.2116,13.5684,13.5947,13.3987,13.4328
7176,1766293_at,2.78737,2.80795,2.76215,2.81759,2.57844,2.41522,2.58456,2.87294,2.74191,2.8592,2.56741,2.97831,2.4495,2.88778,2.32407,2.22976,2.57411,2.61879,2.60266,1.90004,2.75179,2.72998,2.68423,2.83383,3.17484,2.9093,2.27533,2.43634,2.9069,3.00233,2.68665,2.5772
7177,1766294_s_at,6.00201,6.30415,5.79078,5.94534,5.56522,6.12824,5.48314,6.13778,6.19643,6.25353,6.51628,6.43665,6.00286,5.9425,5.05596,5.46073,5.06388,4.94046,4.87567,5.1548,4.98286,5.34923,4.83543,4.52067,5.76866,5.81988,5.18122,4.9912,5.87168,6.23756,5.4124,5.17214
7178,1766295_s_at,11.9516,11.9446,13.0716,12.9451,11.8328,11.9633,13.1207,13.0463,11.9197,12.0066,12.4934,12.3369,11.951,12.1026,12.7677,12.6587,11.6457,11.6504,12.2856,11.42,11.6319,11.6418,12.3256,12.4828,11.8851,11.7828,12.1945,12.1253,11.6672,11.713,12.4234,12.3591
7179,1766296_s_at,4.85905,4.66668,4.30948,5.21284,4.29534,4.32006,4.31506,4.7996,4.6586,4.45352,5.72211,5.97397,4.11888,4.39085,4.93568,4.60899,4.65721,4.67422,4.00558,4.34062,4.52371,4.54072,4.3456,4.27525,4.92546,4.92783,4.24425,4.20038,4.74972,5.10944,3.94847,4.16974
7180,1766297_at,6.22442,6.16183,5.60669,6.08916,5.98521,5.97508,5.54601,5.75638,6.30724,6.41455,6.14434,6.8386,6.26923,6.1078,5.9476,5.86136,6.37806,6.46324,4.81708,6.33698,6.4017,6.49138,5.42011,5.26075,6.29718,6.18128,5.04861,4.92221,6.32039,7.0498,5.2226,5.50654
7181,1766298_at,9.09975,9.12951,9.21086,9.1778,8.79517,9.00773,9.18601,9.13832,9.18619,9.22505,8.64489,8.56525,9.10939,9.15253,9.61909,9.67628,9.34322,9.20213,9.42567,9.33699,9.35604,9.23485,9.07061,9.18408,9.41074,9.41683,8.48846,8.63945,9.26295,9.62971,8.39305,8.33823
7182,1766299_at,8.29442,8.17548,10.0374,9.81174,8.36868,8.15623,9.71762,9.64249,8.19596,8.20935,9.23732,8.99212,8.53066,8.31898,9.91683,10.119,9.03365,9.00383,9.77654,8.95307,9.07209,8.89519,9.52626,9.92515,9.26495,9.0229,9.30173,9.12233,9.49795,9.26927,8.99627,8.8385
7183,1766300_s_at,11.9508,11.9671,10.1025,10.1441,12.159,12.1475,10.1371,10.1455,12.0734,12.0582,9.62703,9.3722,11.6523,11.9957,10.601,10.4809,12.2886,12.2807,10.2671,11.757,12.4674,12.4321,10.1633,10.1445,12.5494,12.5376,9.70776,9.70495,12.3496,12.3518,9.72148,9.75418
7184,1766301_at,5.03645,5.0076,4.91194,4.96642,4.70814,4.90701,4.96642,4.96642,5.26438,5.07774,5.80689,6.26946,5.42668,5.47686,5.30085,4.88074,4.95582,4.92248,4.64515,5.09594,5.07312,5.02028,5.20658,4.66684,5.18905,4.96938,4.65966,4.42193,5.50684,5.59062,4.4816,4.4313
7185,1766302_s_at,9.35775,9.41331,9.70352,9.67824,9.16192,9.13211,9.67601,9.70575,9.45326,9.35096,9.31427,9.03761,9.43316,9.29512,9.90265,9.91942,10.0606,9.99575,9.93708,9.73926,9.83072,9.9263,9.77943,9.90308,10.0933,9.94297,9.56628,9.62313,9.96932,9.85117,9.05879,8.98639
7186,1766303_s_at,9.87571,9.92531,8.55392,8.1927,9.65498,9.72589,8.49516,8.48644,10.0264,9.92666,7.48081,7.05054,9.4616,9.87264,8.6324,8.79958,9.76525,9.49934,8.78375,8.99856,9.76861,9.6535,8.21055,8.67479,10.0167,9.8882,8.09791,8.11101,10.1329,10.1956,8.26522,8.18177
7187,1766304_s_at,4.99199,5.07424,4.70427,4.6672,4.83677,5.12957,4.60943,4.49336,4.45257,4.52832,5.02309,5.77316,4.80363,4.78343,4.31959,4.20041,4.66425,4.6168,4.27682,4.56166,4.60099,4.60783,4.74368,4.19874,5.31489,5.02554,4.47,4.36109,5.12396,5.40349,4.53962,4.61265
7188,1766306_s_at,11.4722,11.4946,9.48562,9.58495,11.4674,11.4596,9.49793,9.446,11.2045,11.2708,8.87133,8.60166,11.2602,11.4013,9.75554,9.71048,11.2044,11.1308,10.3618,10.7951,11.1594,11.1116,10.5179,10.3531,11.279,11.2128,9.97691,9.99454,11.1473,11.2468,9.91126,9.95942
7189,1766307_at,9.45538,9.61458,9.69409,9.01352,9.36171,9.11316,9.49916,9.2944,9.57043,9.53308,8.77183,8.17149,9.43487,9.67017,9.73769,10.1881,9.66156,9.6356,10.2136,9.51883,9.67388,9.57815,9.22392,9.82215,9.65195,9.48686,9.11667,9.03154,9.85366,9.63721,8.72954,8.68366
7190,1766308_at,5.32236,5.32499,4.79718,4.51824,5.32499,5.22417,4.87793,4.46001,5.52556,5.63623,5.749,6.37171,5.75773,5.88704,4.43723,4.58083,5.00211,5.19221,5.11328,5.3335,5.07822,5.31396,4.93908,5.20677,5.76716,5.64341,4.98349,5.03519,6.04658,5.95201,5.26017,5.14965
7191,1766309_s_at,7.81873,7.69517,8.87777,8.456,7.94352,7.61525,8.88845,8.72294,8.37887,8.0976,8.32523,7.75535,8.3207,8.04823,8.95421,9.58079,8.3138,8.49277,9.4411,8.18811,8.22184,7.92545,8.47949,9.05975,8.17145,8.25363,8.57014,8.32022,8.75118,8.26653,8.20465,7.97794
7192,1766310_s_at,11.0947,11.0408,11.0712,11.2948,11.0103,11.1123,11.1134,11.1428,10.8554,11.1081,10.7487,10.5309,11.1354,10.9118,10.966,10.8159,10.5233,10.5202,10.5839,10.3778,10.5596,10.6177,10.9469,10.6836,10.7769,10.699,10.115,10.1328,10.7852,10.7415,10.3318,10.3122
7193,1766311_s_at,5.15147,5.03514,4.84029,4.57247,5.09031,5.07209,4.62918,4.58042,5.43503,5.38666,5.04278,5.47032,5.42667,5.55318,4.51677,4.34828,4.33092,4.18617,3.58986,4.21045,4.35937,4.50894,3.76035,3.37842,4.42036,4.60505,4.24385,4.33784,5.05492,5.50651,4.41502,4.49761
7194,1766312_s_at,6.75777,6.63422,5.87414,6.12775,6.26931,6.53585,6.22219,6.05575,6.38361,6.26168,8.31558,8.91959,6.15652,6.30801,6.5464,6.0077,6.20487,6.13526,6.02733,8.44155,6.09057,6.56629,7.74118,6.68131,7.69998,7.69322,6.51551,7.02184,7.50777,8.51844,6.99296,7.39379
7195,1766313_at,7.79968,7.51582,6.72924,7.38868,7.15706,7.53865,7.03677,7.01366,7.56359,7.40127,7.26699,8.04921,7.16333,7.40228,7.1515,6.83675,7.10509,6.9554,6.27114,7.86384,7.20107,7.48614,6.98259,6.42987,7.45074,7.21137,6.5918,6.57176,7.49424,7.87129,6.71984,7.03733
7196,1766314_s_at,12.2785,12.3073,13.1372,12.9957,12.2549,12.3475,12.9855,13.0116,12.281,12.444,12.6554,12.4352,12.5251,12.4041,12.79,12.9167,12.3195,12.371,12.7796,11.5912,12.2362,12.271,12.7696,12.7505,12.4385,12.335,12.5294,12.3763,12.4918,12.2999,12.5528,12.4739
7197,1766315_at,5.19605,5.58286,4.66529,4.95943,4.77495,5.11531,4.7017,4.77904,5.22161,5.23151,4.90693,5.33693,5.153,5.09643,4.30522,4.63543,5.02909,5.18325,4.68692,5.45828,5.05121,5.29863,5.21759,4.71579,5.29794,5.52388,4.08954,4.82386,5.57557,6.3199,4.59457,4.82725
7198,1766316_s_at,8.64003,8.63963,9.81483,9.98629,8.66479,8.6782,9.93039,9.99528,8.59996,8.64106,9.34424,9.35486,8.8346,8.79117,9.96056,9.82083,8.53569,8.58997,9.36352,8.92104,8.61441,8.46905,9.7065,9.61652,8.53096,8.54454,9.09704,9.10417,8.89205,8.83932,9.18533,9.17756
7199,1766317_at,10.2397,10.3331,9.55572,9.94915,10.0313,10.1584,9.90244,9.8318,10.0899,10.116,9.62465,9.31154,9.37687,9.93608,9.89528,9.77734,9.85916,9.76978,9.65529,9.93312,9.74982,9.5229,9.70181,9.75782,10.079,10.1001,9.31245,9.18682,10.0131,10.2395,9.27888,9.45774
